DocumentID,Status,TargetLibrary,StorageURL
RAE-00001,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00001.doc
RAE-00002,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00002.doc
RAE-00003,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00003.doc
RAE-00004,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00004.docx
RAE-00005,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00005.docx
RAE-00009,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00009.pdf
RAE-00011,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00011.pdf
RAE-00012,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00012.pdf
RAE-00014,COMPLETE,Administration,/sites/msteams_54adc4/Administration/RAE-00014.doc
RAE-00043,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00043.pdf
RAE-00044,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00044.pdf
RAE-00045,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00045.docx
RAE-00046,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00046.docx
RAE-00047,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00047.docx
RAE-00048,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00048.docx
RAE-00049,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00049.docx
RAE-00050,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00050.docx
RAE-00051,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00051.pdf
RAE-00052,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00052.pdf
RAE-00053,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00053.xlsx
RAE-00054,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00054.pdf
RAE-00057,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00057.pdf
RAE-00058,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00058.doc
RAE-00059,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00059.xlsx
RAE-00060,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00060.xlsx
RAE-00061,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00061.pdf
RAE-00063,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00063.pdf
RAE-00064,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00064.docx
RAE-00068,COMPLETE,FinanceProcurement,/sites/msteams_54adc4/FinanceProcurement/RAE-00068.pdf
RAE-00078,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00078.pdf
RAE-00079,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00079.pdf
RAE-00080,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00080.pdf
RAE-00081,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00081.pdf
RAE-00090,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00090.pdf
RAE-00091,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00091.pdf
RAE-00093,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00093.pdf
RAE-00117,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00117.pdf
RAE-00118,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00118.pdf
RAE-00119,COMPLETE,PlanningPolicy,/sites/msteams_54adc4/PlanningPolicy/RAE-00119.pdf
RAE-00135,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00135.pdf
RAE-00136,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00136.pdf
RAE-00137,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00137.pdf
RAE-00138,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00138.pdf
RAE-00139,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00139.pdf
RAE-00140,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00140.pdf
RAE-00141,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00141.pdf
RAE-00142,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00142.pdf
RAE-00143,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00143.doc
RAE-00144,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00144.doc
RAE-00145,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00145.doc
RAE-00146,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00146.xlsx
RAE-00147,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00147.doc
RAE-00148,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00148.doc
RAE-00149,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00149.xlsx
RAE-00150,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00150.docx
RAE-00151,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00151.docx
RAE-00152,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00152.docx
RAE-00153,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00153.docx
RAE-00154,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00154.docx
RAE-00155,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00155.docx
RAE-00156,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00156.docx
RAE-00157,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00157.docx
RAE-00162,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00162.docx
RAE-00163,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00163.docx
RAE-00164,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00164.docx
RAE-00165,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00165.docx
RAE-00166,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00166.docx
